Trevin Giles	L
Sergio Moraes	W
Warlley Alves	W
Alex White	W
Tom Gallicchio	W
Jesse Taylor	L
Shane Campbell	W
Daron Cruickshank	W
Valmir Lazaro	L
Jorge Masvidal	L
Jamie Varner	W
Bobby Green	L
Sam Stout	W
Toby Imada	W
Joe Jordan	W
Guilherme Trindade	W
Amir Khillah	W
Mark Korzenowski	W
Sean Wilson	W
Steve Schneider	W
Clay French	L
Nathan Schut	W
Toby Imada	L
Kalel Robinson	W
Ricardo Lamas	L
Donald Cerrone	L
Matt Williamson	W
Steve Schneider	W
Michael Johnson	W
Ran Weathers	W
Tim Bazer	W
Dan Copp	W
Douglas Edwards	W
Anthony Smith	W
Shane Hutchinson	W
Kevin Hengler	W
