Phil de Fries	L
Tsuyoshi Kosaka	L
Bobby Lashley	L
Eric Prindle	W
Colin Robinson	W
Bobby Lashley	W
Bob Sapp	W
Mariusz Pudzianowski	D
Mariusz Pudzianowski	W
Yusuke Kawaguchi	L
Miodrag Petkovic	L
Tengiz Tedoradze	W
Rob Broughton	L
Alistair Overeem	L
Jim York	L
Kevin Ferguson	L
Brett Rogers	L
Neil Grove	L
Don Frye	W
Eric Esch	L
Hidehiko Yoshida	W
John-Olav Einemo	L
Rob Broughton	L
Kazuyuki Fujita	L
Paulo Cesar Silva	W
Alexandru Lungu	W
Andy Costello	W
Autimio Antonia	W
Henry Miller	W
Nikolajus Cilkinas	W
Aleksander Emelianenko	L
Dan Severn	W
Tengiz Tedoradze	L
Aaron Marsa	W
Marc Goddard	W
Richie Cranny	W
Marc Goddard	W
Will Elworthy	W
