Max Nunes	W
Maciej Browarski	L
Tatsuya Mizuno	W
Dritan Barjamaj	W
Przemyslaw Mysiala	W
Shamil Abdulmusilmov	W
Martin Zawada	L
Brian Rogers	L
Minoru Kato	W
Murilo Rua	L
Sebastian Olchawa	W
Hracho Darpinyan	W
Mike Connors	W
Emil Zahariev	L
Marcus Vanttinen	L
Dmitry Samoilov	W
Ansar Chalangov	L
Riki Fukuda	L
Martinas Klimas	W
Yuta Watanabe	W
Jonathan Leon	L
Daniel Weichel	W
Andrey Rudakov	W
Melvin Costa	W
Egidijus Valavicius	L
Rodney Moore	L
Billy Echter	W
Emyr Bussade	W
Nathan Schouteren	W
Sergey Naumov	W
Matt Hershberger	W
Kevin Brooks	L
