Ivan Shtyrkov	L
Evgeny Erokhin	L
D.J. Linderman	L
Kevin Brooks	W
Chaban Ka	L
Shakhmaral Dzhepisov	L
Mike Hayes	L
Satoshi Ishii	L
Aleksei Oleinik	L
Magomed Malikov	L
Drazen Forgac	W
Dong Gook Kang	W
Aleksander Emelianenko	W
Denis Komkin	W
Jim York	W
Chaban Ka	D
Aleksei Oleinik	W
Fedor Emelianenko	L
Rob Zielinski	W
Daniel Cormier	L
Maro Perak	W
Tony Lopez	W
Lee Mein	W
Sergey Shemetov	W
Travis Fulton	W
Dave Keeley	W
Jason Guida	W
Ubiratan Marinho Lima	W
Shamil Abdurakhimov	L
Travis Wiuff	L
Francisco Nonato	W
John Brown	W
Pedro Rizzo	L
Jimmy Ambriz	W
Sergei Kharitonov	W
Sergei Maslobojev	W
Roy Nelson	W
Ricco Rodriguez	W
Jimmy Ambriz	W
Mark Kerr	W
Josh Barnett	L
Hakim Goram	W
Pedro Rizzo	L
Kazuyuki Fujita	W
Tim Sylvia	L
Anthony Perosh	W
Marcio Cruz	W
Branden Lee Hinkle	W
Marc Emmanuel	W
Devin Cole	W
Jay White	W
Rich Wilson	W
Tengiz Tedoradze	W
Jay White	W
Brian Stromberg	W
Tengiz Tedoradze	W
Pat Stano	W
Carlos Clayton	W
Don Richards	W
Joe Nye	W
Mike Delaney	W
Forrest Griffin	L
Ricco Rodriguez	L
Roman Roytberg	W
Chuck Liddell	L
Tim Lajcik	W
Bob Gilstrap	W
David Dodd	L
Roger Neff	W
Tom Sauer	L
John Renfroe	W
Cy Cross	W
Luther Norberg	W
