Sami Aziz	L
Masakatsu Ueda	L
Yanfei Zhao	W
Eric Kelly	L
Jesse Thorton	W
Tim Elliott	L
Coty Wheeler	W
Brian Davidson	L
Wade Choate	W
Mike Lindquist	W
Diego Garijo	L
Javier Vazquez	L
Josh Grispi	L
Urijah Faber	L
Leonard Garcia	L
Urijah Faber	L
Cub Swanson	W
BJ Penn	L
Joe Lauzon	L
Cole Escovedo	W
Kenji Arai	W
Hayato Sakurai	L
Tomomi Iwama	W
Takanori Gomi	L
Stephen Palling	W
Naoya Uematsu	W
Richard Hess	W
Joe Jordan	W
Jason Maxwell	L
Duane Ludwig	L
Takehiro Murahama	W
Rob Emerson	W
BJ Penn	W
Dennis Hallman	W
Caol Uno	W
John Lewis	W
Dave Gries	W
Din Thomas	L
Joao Roque	W
Eric Hibler	W
David Velasquez	W
Phil Johns	W
Alfonso Alcarez	D
Joe Stevenson	W
Ray Morales	W
David Harris	L
Curtis Hill	W
