Dhiego Lima	W
James Krause	W
Mukhamed Berkhamov	L
Seth Baczynski	W
Aslambek Saidov	L
Borys Mankowski	L
Michail Tsarev	W
Nick Barnes	W
Maiquel Falcao	L
Trey Houston	L
David Branch	L
Elvis Mutapcic	W
John Phillips	W
Kendall Grove	W
Chris Fields	W
Steve Kennedy	W
Marcel Fortuna	W
Christopher Ortega	W
Gael Grimaud	L
Mamed Khalidov	L
Mario Trujillo	W
Hector Lombard	L
Denis Kang	W
Clay Davidson	W
Dylan Andrews	W
Tom Watson	W
Murilo Bustamante	W
Thales Leites	L
Jason Day	W
Luke Rockhold	L
Jay Hieron	L
Dong Sik Yoon	W
Ruben Barboza	W
Eric DaVila	W
Chris Camozzi	W
Gert Kocani	W
Rico Altamirano	W
Drew Fickett	W
CB Dollaway	L
Jorge Ramirez	W
Matt Major	W
Kenny Ento	L
Jorge Ortiz	W
Jesse Forbes	L
Noel Rodriguez	W
Chris Chiasson	W
Robert Sarkozi	W
