Vinc Pichel	L
Roosevelt Roberts	W
Scott Holtzman	L
Clay Guida	W
Jason Gonzalez	W
Charles Oliveira	L
Alex White	W
Dan Hooker	L
Francisco Trinaldo	L
Anthony Pettis	L
Dustin Poirier	L
Thiago Alves	W
Joe Lauzon	W
Takanori Gomi	W
Diego Sanchez	L
Michael Chiesa	L
Danny Castillo	W
Beneil Dariush	L
Donald Cerrone	L
Yancy Medeiros	W
Fabricio Camoes	W
Pat Healy	D
Joe Lauzon	W
Nate Diaz	L
Melvin Guillard	W
Benson Henderson	L
Kamal Shalorus	W
Charles Oliveira	W
Gleison Tibau	W
Mark Bocek	W
Duane Ludwig	W
Steve Lopez	W
Mac Danzig	W
Gray Maynard	L
Matt Wiman	W
David Baron	W
Bart Palaszewski	W
Chris Liguori	W
Chris Liguori	W
Nuri Shakir	W
Anthony Morrison	W
Al Buck	W
Frankie Edgar	L
James Jones	W
Muhsin Corbbrey	W
Joseph Andujar	W
Kevin Roddy	W
Eddie Fyvie	W
