Artem Frolov	L
Boris Polejay	D
Oleg Olenichev	W
Shonie Carter	W
Dmitry Samoilov	W
Jerome Jones	W
Billy Martin	W
Cody McKenzie	W
Chris Camozzi	L
Ron Stallings	W
Patrick Cote	L
Ben Saunders	L
Mike Bronzoulis	W
Cris Leyva	W
Josh Cavan	W
Shane Johnson	W
Aaron Brink	W
Shannon Ritch	W
Kendall Grove	L
Bryan Baker	L
Jordan Mein	L
Trent Thorne	W
Louis Taylor	W
Jay Hieron	L
Nick Almen	W
David Barnes	W
Phil Baroni	W
Luke Stewart	W
Kazuo Misaki	L
Matt Dempsey	W
Cory Devela	L
Eugene Jackson	W
Dan Chambers	W
Diego Sanchez	L
Jason Von Flue	W
Mike Swick	L
Nick Diaz	W
Matt Hughes	L
Chris Lytle	W
Rob Kimmons	W
Ivan Salaverry	L
Thomas Gil	W
Isidro Gonzalez	W
Joe Doerksen	W
Shane Johnson	W
Kendall Grove	W
Dave Vitkay	W
John Renken	W
Chris Kiever	W
Alex Stiebling	L
Cory Timmerman	W
Frank Alcala	W
Andy Montana	D
Greg Wikan	W
Will Hammond	W
Travis Fulton	L
Herb Dean	W
Wesley Correira	L
Lemuel Vincent	W
Allan Sullivan	W
Joe Pardo	W
Jess Morton	W
Andy Montana	W
Homer Moore	L
Joey Vigueria	W
Justin Lyon	W
Ryan Roath	W
