Jeff Fletcher	W
Chris Gruetzemacher	L
Dan Lauzon	L
David Castillo	L
Karo Parisyan	W
Justin Buchholz	W
Niko Puhakka	L
James Birdsley	W
Dominique Robinson	L
Alejandro Solano Rodriguez	W
Yves Edwards	L
Mark Holst	W
Rafaello Oliveira	L
Steve Sharp	W
Fabian Acuna	W
Dan Russom	W
Bryan Travers	L
Eric Regan	W
Alexander Crispim	W
Ryan Schultz	L
Wagnney Fabiano	L
Gabriel Casillas	W
Bart Palaszewski	L
Josh Odom	W
Bryan Caraway	W
Mike Joy	W
Cam Ward	W
Danny Payne	W
Rudy Garcia	W
Charles Bennett	W
Shawn Bias	W
Frank Watts	L
Enoch Wilson	W
Armando Valadez	W
Donny Raines	L
Dave Rivas	W
Mike Jonet	W
Rob Hisamoto	D
Rob Hisamoto	W
Brad Horner	W
Dean Lavin	W
Chris Young	W
Chris Irvine	L
Pedro Castaneda	W
Shawn Cahill	W
Chad Nelson	L
Vince Guzman	W
Dominic Rivera	W
Armando Valadez	D
Lin Tru	W
Brock Mclure	W
Charlie Fortec	L
Al Libey	W
