Jimmy Flick	L
Eric Higaonna	W
Mike Hernandez	W
Taylor Moore	W
Josh Robinson	W
Rani Yahya	L
Cody Gibson	L
Rani Yahya	D
Bryan Caraway	L
Marcos Vinicius	W
Louis Gaudinot	W
John Dodson	L
Frank Gomez	W
Edwin Figueroa	L
Jared Lopez	W
Ryan Webb	W
Danny Tims	W
Tim Snyder	W
Jeremy Dodd	W
Humberto Deleon	W
Mike Baskis	L
Daniel Pineda	W
Francisco Barragan	W
Daniel Pineda	L
Dustin Neace	L
Shane Waits	W
Josh Lee	W
Rocky Long	W
Stephen Ledbetter	L
Damon Chamberlin	W
Justin Moore	W
Rocky Long	W
Billy Vaughan	L
Arman Loktev	L
Dan Caesar	W
Dustin Neace	L
Kris Kanaley	D
Roc Castricone	W
Chino Duran	L
