Tofik Musaev	L
Roberto de Souza	W
Satoru Kitaoka	W
Yusuke Yachi	W
Natan Schulte	D
Jose Verdugo	W
Brandon Longano	W
Anthony Rocco Martin	L
Jake Matthews	L
Yan Cabral	W
Francisco Trevino	W
Frankie Perez	W
Kazuki Tokudome	W
E.J. Brooks	W
Ted Worthington	W
Demi Deeds	W
Sean Wilson	W
Jay Ellis	W
Derek Getzel	W
Lonnie Scriven	W
Jeremy Castro	W
Rick Glenn	L
Tyler Mills	W
Mike Miller	W
Derek Getzel	L
James Winters	W
Brandon Bergeron	W
Gabe Walbridge	W
Roland Larson	W
Nate Boebel	W
Travis Nath	W
Timothy Morris	W
Jerald Steer	W
Marcus LeVesseur	L
Chad Murphy	L
