Gadzhimurad Antigulov	L
Michal Materla	L
Edvaldo de Oliveira	W
Scott Askham	L
Antonio Dos Santos	L
Erik Becker	W
Rafael Silva	W
Vyacheslav Vasilevsky	L
Marco Palebi	W
Alexandre Nunes Brandao	W
Djamil Chan	W
Deyvison Santos	W
Alexandre Nunes Brandao	W
Julio Cesar dos Santos	L
Marcelo Silva	W
Bhupesh Kamble	W
Everaldo Pere Guinelli	W
Murilo Santana	L
Fabricio Monteiro	W
Erick Silva	L
Gustavo Machado	L
Adriano Maciel	W
Cassiano Ricardo Castanho de Freitas	L
Matheus Serafim	W
Leandro Silva	W
Rodrigo Ribeiro	W
Mycon Pessoa	W
Daniel Sarafian	L
Fabio Silva	L
Valter Roberto de Menezes	W
Fernando Hulk	W
