Kamaru Usman	L
Nate Diaz	W
Ben Askren	W
Darren Till	W
Stephen Thompson	L
Demian Maia	L
Donald Cerrone	W
Jake Ellenberger	W
Ross Pearson	W
Lorenz Larkin	L
Benson Henderson	L
Cezar Ferreira	W
Al Iaquinta	L
James Krause	W
Daron Cruickshank	W
Pat Healy	W
Rustam Khabilov	L
Michael Chiesa	W
Tim Means	W
Justin Wilcox	W
Gilbert Melendez	L
KJ Noons	W
Billy Evangelista	W
Paul Daley	L
Naoyuki Kotani	W
Luis Palomino	L
Satoru Kitaoka	W
Eric Reynolds	W
Toby Imada	L
Nick Agallar	W
Tae Hyun Bang	W
Ryan Schultz	W
Rodrigo Damm	L
Ryan Healy	W
Brant Rose	W
Matt Lee	W
Yves Edwards	W
Steve Berger	W
Keith Wisniewski	W
Nuri Shakir	W
David Gardner	W
Paul Rodriguez	L
Joe Lauzon	W
Raphael Assuncao	L
Justin Wisniewski	W
Julian Ortega	W
Rolando Delgado	W
Brian Geraghty	W
Brandon Bledsoe	W
