Maycon Silvan	L
Askar Askarov	L
Dustin Ortiz	L
John Lineker	L
Milton Cesar	W
Luciano Bulldog	W
Leo Jacare	W
Bryan Mauricio	W
James Wilson	L
Jerry Tolentino	W
Lucas Delmonico	W
Lucas Eduardo	W
Diogo Esquilo	W
Wagner Mexicano	W
Anderson Cruz	W
Carlos Popo	W
Ivan Alves	W
Francisco Sinai	D
Gilson Nunes	W
Everton Everton	W
Tiago Urubu	W
Aldo Mascote	W
Maluinha Maluinha	W
Carlos David Oliveira	L
Territe Martins	D
Rafael Moreira	W
Ronaldo Figueiredo Lima Jr.	W
Jussier Formiga	L
Arivaldo Batista da Silva	W
Leandro Higo	L
Joao Paulo	W
Diego Divino	W
Marcio Cabecao	W
Jose Marcos Lima Santiago Jr.	W
Fabio Lima	W
Paulo Eric	W
Koreano Koreano	W
Cacique Cacique	W
Janjao Janjao	W
Denilson Capetinha	W
Junior Cabeleira	W
Ricson Moura	W
Dede Selvagem	W
