Deiveson Figueiredo	L
Deiveson Figueiredo	L
Jussier Formiga	W
Dustin Ortiz	W
Alex Perez	W
Sergio Pettis	L
Henry Cejudo	W
Zach Makovsky	W
Ali Bagautinov	W
John Moraga	W
Dustin Ortiz	W
Tim Elliott	W
Demetrious Johnson	L
Jussier Formiga	W
Darren Uyenoyama	W
Ian McCall	W
Demetrious Johnson	L
Yasuhiro Urushitani	W
Eddie Wineland	W
Ian Loveland	W
Wagnney Fabiano	W
Dominick Cruz	L
Miguel Torres	W
Rani Yahya	W
Dominick Cruz	L
Jeff Curran	W
Danny Martinez	W
Junya Kudo	W
Maurice Eazel	W
Jason Georgianna	W
Rocky Del Monte	W
Carlos Lovio	W
Justin Smitley	W
Ramon Rodriguez	W
Brandon Shelton	W
