Andrei Arlovski	W
Ben Rothwell	L
Roy Nelson	W
Travis Browne	L
Frank Mir	W
Nandor Guelmino	W
Daniel Cormier	L
Sergei Kharitonov	W
Brett Rogers	W
Geronimo dos Santos	W
Siala-Mou Siliga	W
Gilbert Yvel	W
Pedro Rizzo	W
Jeff Monson	W
Hidehiko Yoshida	W
Antonio Rodrigo Nogueira	L
Pawel Nastula	W
Mirko Filipovic	L
Antonio Rodrigo Nogueira	W
Mark Hunt	W
Aleksander Emelianenko	W
Kazuhiro Nakamura	W
Mirko Filipovic	L
Mirko Filipovic	L
Rene Rooze	W
Semmy Schilt	W
Kazuo Takahashi	W
Yuki Kondo	W
Jimmy Ambriz	W
Randy Couture	W
Bobby Hoffman	W
Semmy Schilt	W
Pedro Rizzo	L
Gan McGee	W
Dan Severn	W
Bobby Hoffman	W
John Marsh	W
Juha Tuhkasaari	W
Trevor Howard	W
Bob Gilstrap	W
Chris Munsen	W
Bob Gilstrap	W
Chris Charnos	W
