Alex Perez	L
Brandon Moreno	L
Joseph Benavidez	L
Deiveson Figueiredo	W
Sergio Pettis	W
Ben Nguyen	W
Ulka Sasaki	W
Ray Borg	L
Dustin Ortiz	W
Henry Cejudo	L
Wilson Reis	W
Zach Makovsky	W
Scott Jorgensen	W
Joseph Benavidez	L
Chris Cariaso	W
John Dodson	L
Sidney Oliveira	W
Martin Coria	W
Rodrigo Santos	W
Michael William Costa	W
Mamoru Yamaguchi	W
Ian McCall	L
Danny Martinez	W
Alexandre Pantoja	W
Shinichi Kojima	W
Michael William Costa	W
Ralph Lauren	W
Jose Maria	W
Erinaldo Erinaldo	W
Amaury Junior	W
Chacal Chacal	W
