Mike Jasper	L
Angelo Trevino	L
Daniel Rodriguez	L
Brandon Hester	L
Ben Egli	L
Angel De Anda	L
James Terry	L
Mauricio Alonso	L
Angel De Anda	L
Nicholas Kohring	W
Scott Smith	W
Nicholas Kohring	W
Randall Wallace	L
Randall Wallace	L
Randall Wallace	W
David Mitchell	L
John Mercurio	W
Andrey Koreshkov	L
Herman Terrado	D
Brent Weedman	L
Daniel Roberts	W
Robert Sarkozi	W
Mikhail Venikov	W
Tony Johnson	L
Kito Andrews	L
Max Griffin	W
Jaime Jara	W
Jack Montgomery	W
Jeff Morris	W
Lewis Gonzalez	L
Carlos Canez	W
Jaime Jara	L
Jack Montgomery	W
Kyle Bledsoe	W
Daniel Schmitt	W
Sean Neeley	W
Jose Rico	W
