Daniel Pineda	D	No Contest	-
Luis Rafael Laurentino	W	KO/TKO	2
Steven Siler	W	Decision - Unanimous	3
Luis Rafael Laurentino	L	KO/TKO	1
Marat Magomedov	W	TKO	3
Danyel Pilo	W	KO	1
Alexander Volkanovski	L	KO/TKO	2
Kyle Bochniak	W	Decision - Unanimous	3
Rony Jason	W	Decision - Unanimous	3
Alessandro Ricci	W	Decision - Unanimous	3
Drew Brokenshire	W	Decision - Unanimous	3
Mario Pereira	W	Decision - Unanimous	5
Andre Da Silva	W	Submission (Rear Naked Choke)	2
Matthew Middleton	W	Submission (Peruvian Necktie)	1
Viktor Larsson	W	TKO	2
Natthapol Thanaruethai	W	KO	1
Blake Shearing	W	TKO (Doctor Stoppage)	2
Dan Lin	W	Decision - Unanimous	3
