Diego Brandao	L
Edimilson Souza	L
Sam Sicilia	W
Tony Ferguson	L
Quinn Mulhern	W
Yong Jae Lee	W
Jutaro Nakao	W
Luiz Andrade I	W
Yasuaki Kishimoto	W
Satoru Kitaoka	L
Kwang Hee Lee	W
Mizuto Hirota	L
Daisuke Nakamura	W
Nobuhiro Obiya	W
Gesias Cavalcante	L
Kuniyoshi Hironaka	W
Eddie Alvarez	L
Andre Amado	W
Koichiro Matsumoto	W
Bu-Kyung Jung	W
Jang Yong Kim	W
Yoshihiro Tomioka	W
Seigo Inoue	W
Takuhiro Kamikozono	W
Hiroki Nagaoka	W
Yutaka Kobayashi	W
Luiz Andrade I	D
Ichiro Kojima	W
Yukinari Tamura	L
Masashi Takeda	W
Hitoki Tsuti	W
Junpei Chikano	D
