Jonathan Nunez	W
Adrian Pang	W
Christian Lee	L
Narantungalag Jadamba	L
Takasuke Kume	L
Kieran Joblin	W
Akira Okada	W
Takasuke Kume	L
Akbarh Arreola	W
Satoru Kitaoka	W
JJ Ambrose	W
Yoshihiro Koyama	W
Johnny Case	L
Yui Chul Nam	L
Norman Parke	L
Cristiano Marcello	W
Kengo Ura	W
Jung Hyun Jo	W
Isao Kobayashi	L
Kota Okazawa	W
Hiroki Aoki	W
Junichi Ota	W
Shigenobu Takahashi	W
Maciej Gorski	L
Yuma Ishizuka	W
Takafumi Ito	W
Arata Fujimoto	W
Takashi Ito	W
Yasuhiro Kirita	W
Masayuki Hamagishi	D
Tomohiko Yoshida	L
