Shinya Aoki	L
Yan Cabral	L
Marius Zaromskis	L
Jason Miller	L
Ralek Gracie	L
Zelg Galesic	W
Rubin Williams	W
Kiyoshi Tamura	L
Melvin Manhoef	L
Andrews Nakahara	W
Masakatsu Funaki	W
Katsuyori Shibata	W
Royce Gracie	L
Yurij Kiseliov	W
Yoshihiro Akiyama	D
Kestutis Smirnovas	W
Ikuhisa Minowa	W
Ken Shamrock	W
Ricardo Arona	L
Dong Sik Yoon	W
Antonio Schembri	W
Rogerio Nogueira	L
Kevin Randleman	W
Wanderlei Silva	L
Antonio Schembri	L
Gilles Arsene	W
Mirko Filipovic	L
Wanderlei Silva	L
Quinton Jackson	W
Wanderlei Silva	L
Ryan Gracie	W
Shannon Ritch	W
Renzo Gracie	W
Royce Gracie	W
Igor Vovchanchyn	L
Guy Mezger	W
Royler Gracie	W
Anthony Macias	W
Ebenezer Fontes Braga	W
Vitor Belfort	W
Allan Goes	D
Carlos Newton	W
Vernon White	W
Marcus Silveira	W
Marcus Silveira	D
Kimo Leopoldo	L
