Lorenz Larkin	L
Marcos Yoshio Souza	W
Sultan Aliev	L
Salim Touahri	W
Anthony Rocco Martin	L
Alex Morono	W
Elizeu Zaleski dos Santos	L
Kyle Noke	W
Tom Breese	L
Li Jingliang	W
Yuta Watanabe	W
Yoshiyuki Katahira	W
Yuki Okano	W
Keiichiro Yamamiya	W
Frank Camacho	L
Kwang Hee Lee	D
Kota Shimoishi	W
Nobutatsu Suzuki	W
Yuki Sasaki	W
Hoon Kim	W
Yoichiro Sato	W
Akihiro Murayama	L
Yasubey Enomoto	W
Takuya Wada	W
Omar de la Cruz	W
Tomoyoshi Iwamiya	W
Jang Yong Kim	L
Adriano Martins	W
Adriano Martins	W
Rob Emerson	L
Takafumi Hanai	W
Drew Fickett	L
Brock Larson	L
Djalili Salmanov	W
Ronald Jhun	W
Yong Jae Jun	W
Yoshiyuki Yoshida	W
Katsuaki Niioka	W
Mohamed Khacha	W
Taro Minato	W
Jun Kitagawa	W
Kentaro Maeda	W
Atsushi Inoue	W
Kazunori Yokota	D
Keisuke Sakai	W
Ichiro Kanai	W
Daisuke Nakamura	W
Ichiro Kanai	D
Kenta Omori	W
