AJ Matthews	L
John Salter	L
Alexander Shlemenko	L
Francisco France	W
Joey Beltran	W
Brandon Halsey	L
Christian M'Pumbu	W
Brett Cooper	L
Joe Vedepo	W
Danny Mitchell	W
Michal Materla	L
Jesse Taylor	L
Mamed Khalidov	L
Chris Cisneros	W
Ariel Gandulla	W
Joe Cronin	W
Derek Brunson	W
Jay Silva	L
Ikuhisa Minowa	W
Joe Riggs	W
Tim Boetsch	L
Demian Maia	L
Goran Reljic	W
Mark Munoz	L
Jake Rosholt	W
Ricardo Almeida	L
Jason Day	W
Evan Tanner	W
Jorge Rivera	L
Patrick Cote	L
Alan Belcher	W
Chris Price	W
Ed Herman	W
Jay Carter	W
Hector Ramirez	L
Matt Gidney	W
Trenell Young	L
Matt Hendricks	W
Ricky Gunz	D
Joe Riggs	L
Kaipo Kalama	W
Tripstin Kersiano	W
