Baga Agaev	L
Roger Gracie	L
Stanislav Nedkov	L
Mike Whitehead	L
Ryo Kawamura	W
Mauricio Rua	L
Fatih Kocamis	W
Kazuhiro Nakamura	L
Mirko Filipovic	L
Ron Waterman	L
Fedor Emelianenko	L
Mirko Filipovic	W
Kazushi Sakuraba	L
Quinton Jackson	L
Murilo Rua	W
Kenichi Yamamoto	W
Michiyoshi Ohara	W
Brian Foster	W
Renato Sobral	W
Chuck Liddell	L
Randy Couture	L
Pedro Rizzo	W
Pete Williams	W
Bas Rutten	L
Maurice Smith	W
Gustavo Homem de Neve	W
Tom Erikson	L
Ebenezer Fontes Braga	W
Mario Neto	W
Carlos Barreto	L
Luis Carlos Maciel	W
Geza Kalman	W
Dan Bobish	W
