Mateusz Gamrot	L
Marian Ziolkowski	W
Artur Sowinski	W
Marcin Wrzosek	W
Leszek Krakowski	W
George Hickman	W
Yusuke Yachi	W
Artur Sowinski	L
Miguel Torres	W
Takahiro Ashida	W
Anzor Azhiev	W
Katsuyoshi Beppu	W
Yutaka Ueda	W
Hideki Kadowaki	W
Si Cong Liu	W
Albert Cheng	W
Teppei Hori	W
Atsushi Ueda	W
Yoshifumi Dogaki	W
Hidenobu Koike	W
Shinichiro Tanaka	W
Yusuke Hoshiko	W
Mitsuru Yamaguchi	D
Toshiaki Kitada	L
Takashi Fujii	W
Yoshiro Maeda	L
Toshikazu Iseno	L
Yasutomo Katsuki	W
Keizo Sakuragi	W
Masaki Wada	W
