Omari Akhmedov	L
Keita Nakamura	L
Alex Morono	L
Peter Sobotta	W
Jonavin Webb	W
Patrick Cote	L
Charlie Brenneman	W
Andrew Craig	L
Ed Herman	L
Chris Camozzi	W
Rob Kimmons	W
Josh Bryant	W
Kyacey Uscola	W
Yoann Gouaida	W
Scott Smith	L
Seth Kleinbeck	W
Hector Lombard	D
Brian Ebersole	W
Yusaku Tsukumo	W
George Sotiropoulos	L
Byron Donnelly	W
George Sotiropoulos	W
Luke Pezutti	W
Katsuya Inoue	L
Rhys Whitmore	W
Matt Te Paa	W
Mike Sethna	W
Jimmy Raborn	W
Noriyuki Hayakawa	L
Neil Swailes	W
Adrian Bolton	W
Ulf Strand	W
Peter Robbie	W
