Kai Asakura	L
Darrion Caldwell	W
Ben Nguyen	W
Darrion Caldwell	W
Hiromasa Ogikubo	W
Ian McCall	W
Manel Kape	W
Shintaro Ishiwatari	W
Gabriel Leite de Oliveira	W
Hideo Tokoro	W
Yuki Motoya	W
Ali Bagautinov	W
Neil Seery	W
Chico Camus	W
Demetrious Johnson	L
Louis Gaudinot	W
Jon Delos Reyes	W
Darrell Montague	W
Dustin Pague	W
Shintaro Ishiwatari	W
Hiromasa Ogikubo	W
Ian Loveland	W
Manabu Inoue	W
Tetsu Suzuki	W
Masakatsu Ueda	L
Naohiro Mizuno	W
Yuta Nezu	W
Takahiro Hosoi	W
Seiji Akao	W
Keita Ishibashi	W
Ranki Kawana	W
