Rustam Khabilov	L
Islam Makhachev	L
Stevie Ray	W
Adriano Martins	W
Naoyuki Kotani	W
Lipeng Zhang	W
Tae Hyun Bang	L
Chad Laprise	L
Richie Whitson	W
Ryan Healy	W
Ryan Machan	L
Josh Russell	W
Steve Claveau	W
Samuel Guillet	W
Zach Light	W
Douglas Evans	W
Steve Claveau	D
Rory MacDonald	L
Dave Pariseau	W
Jason St. Louis	W
Robert Hugus	W
Todd Steen	W
Gord Cummings	W
Roger Alves	W
Stephane Dube	L
Thierry Quenneville	L
Jaime Renne	W
Mike Adams	L
Jeremy Whittingham	W
Chad Hamzeh	L
Chris Ade	W
Justin Livingston	L
Len Smith	L
Josh Thomson	L
Aaron Krafczyk	W
Pedro Albuquerque	W
Justin Jones	L
Eric Harvey	W
