Fernando Gonzalez	L
Phil Baroni	W
Ron Keslar	W
Rick Hawn	L
Edward Darby	W
Tiger Bonds	W
John Gunderson	L
Thomas Denny	W
Jordan Smith	L
Ryan Ford	L
Dennis Hallman	L
Ben Mortimer	W
Dong Hyun Kim	D
Thiago Alves	L
Ryo Chonan	W
Joshua Burkman	W
Drew Fickett	W
Diego Sanchez	L
Nick Thompson	W
Matt Serra	W
Chris Lytle	W
Nick Diaz	W
Shonie Carter	W
Georges St-Pierre	L
Dave Strasser	W
Fernando Vasconcelos	W
Antonio McKee	W
Darrell Smith	W
Sean Sherk	L
Sean Sherk	L
Guido Jennings	W
Justin Bumphus	W
Scott Davis	W
Jason Rittgers	W
Zach McKinney	W
Brian Warren	W
