Ken Hasegawa	L
Henry Miller	W
Daijiro Matsui	W
Young Choi	W
Ryuta Sakurai	W
Gerald Harris	L
Karl Amoussou	W
Hidehiko Yoshida	W
Kazuo Misaki	L
Yuki Sasaki	W
Jorge Santiago	L
Paul Cahoon	W
Rameau Thierry Sokoudjou	L
Lyoto Machida	L
Mauricio Rua	L
Travis Galbraith	W
Yoshihiro Nakao	W
Evangelista Santos	W
Josh Barnett	L
Yuki Kondo	W
Igor Vovchanchyn	W
Wanderlei Silva	L
Kevin Randleman	W
Stefan Leko	W
Dan Henderson	L
Murilo Bustamante	W
Rogerio Nogueira	L
Chalid Arrab	W
Alberto El Patron	W
Daniel Gracie	W
Rogerio Nogueira	L
