Ivan Jorge	L
Chris Clements	L
Josh Neer	L
Chris Wilson	W
Randy Crawford	W
Ted Worthington	W
Pete Spratt	W
Tristan Yunker	W
Johnny Davis	W
Carlo Prater	L
Erik Oganov	L
Rory Markham	L
Jorge Masvidal	L
Nick Thompson	L
Carlo Prater	W
Musail Allaudinov	W
Shinya Aoki	L
Carlo Prater	W
Derrick Noble	W
Steve Berger	W
Kyle Jensen	W
Jason Black	L
Chris Moore	W
Jorge Santiago	W
Danila Veselov	W
Eddie Sanchez	W
Nuri Shakir	W
Marco Macera	W
Matt Lee	W
John Renken	L
Eric Pettit	W
Jason Glabus	W
Dale Carson	W
CJ Fernandes	L
Angelo Popofski	W
Adrian Serrano	L
Pat Heidenreich	W
Jason Glabus	D
Shonie Carter	L
Jim Rhodes	W
Brandon Bledsoe	W
Josh Cate	W
Robert Humphreys	W
Joey Gilbert	L
