Roosevelt Roberts	W
Anderson Hutchinson	W
Adil Benjilany	W
Charles Bennett	W
John Teixeira	L
Kamuela Kirk	L
Darrick Minner	W
Nate Jennerman	L
CJay Hunter	W
Matt Bessette	L
Tatsuya Ando	L
Lenny Wheeler	W
Rasul Mirzaev	L
Jacob Akin	W
Jesse Brock	L
Bryan Goldsby	W
Aslan Toktarbaev	W
Deryck Ripley	W
Dustin Phillips	W
Javier Lujan	W
Adam Rider	W
Brian Bearman	W
Brian Davidson	W
Nate Murdock	W
Yaotzin Meza	L
Ramiro Hernandez	L
Rodrigo Sotelo	W
Justin Gaethje	L
J.R. Sotelo	W
Brian Davidson	W
Kody Frank	W
Eddie Granado	W
Willie Mack	L
Jose Vega	L
