Tony Lopez	W
Ante Delija	L
Damian Grabowski	L
Valentijn Overeem	W
Kenny Garner	W
Mikhail Gazaev	L
Marcin Tybura	L
Valentijn Overeem	W
Kenny Garner	W
Peter Graham	L
Aleksander Emelianenko	L
Andrei Sen	W
Timur Shikhmagomedov	W
Alexei Kudin	L
Alexander Sitalo	W
Viktor Matviychuk	W
Peter Graham	L
Alexei Kudin	L
Jermaine Van Rooy	L
Valdas Pocevicius	W
Ruslan Magomedov	W
Yuri Gorbenko	W
Jessie Gibbs	W
Arnold Oborotov	W
Michal Kita	W
Baga Agaev	L
Miodrag Petkovic	W
Grigor Ashughbabyan	W
Salimgirey Rasulov	W
Vahan Bojukyan	W
Alexander Romaschenko	W
Vitalii Yalovenko	W
David Olivia	L
Daniel Omielanczuk	W
Miodrag Petkovic	L
Grigor Ashughbabyan	W
Slavomir Molnar	W
Ibragim Magomedov	L
Tadas Rimkevicius	W
Peter Mulder	W
Dan Evensen	L
Todd Gouwenberg	L
Atte Backman	W
