Iuri Lapicus	D		-
Saygid Guseyn Arslanaliev	W	Decision - Unanimous	3
Shinya Aoki	W	TKO	2
Edward Kelly	W	KO/TKO	1
Kazuki Tokudome	W	TKO	1
Edward Kelly	L	DQ	1
Martin Nguyen	L	Decision - Split	5
Kazunori Yokota	W	Submission (Guillotine)	2
Kotetsu Boku	W	TKO	1
Keanu Subba	W	Submission (Armbar)	3
Jianping Wan	W	TKO	1
Martin Nguyen	L	Submission (Guillotine)	1
Rocky Batolbatol	W	TKO	1
Cary Bullos	W	Submission (Brabo Choke)	1
Mahmoud Deab Mohamed	W	Submission (Kimura)	1
David Meak	W	TKO	1
Anthony Engelen	W	TKO	1
