Jeremy Kennedy	L
Lance Palmer	L
Jeremy Kennedy	W
Cleverson Silva	W
Carlisson Diego Oliveira dos Santos	W
Fabricio Viegas Sarraff	L
Paulo Sergio dos Santos	W
Caio Rodrigues	W
Sidney Lessa de Oliveira	W
Marcelo Boldrini	W
Welinton Dias	W
Everton Darciso	W
Gabriel Fernandes	W
Sidemar Carlos	W
Mateus Ricardo Becker	W
Nelson Junior	W
Claudir Dutkevis	W
Anderson Cruz	W
Pedro Paulo Silva	W
Felipe Oliveira	W
Gabriel Fernandes	W
Anderson Adao	W
William Preisner	W
Daniel Pedro	W
Erick Pitbull	W
Tiago Afonso	W
Ranieri Yuri Zenidim Bueno	W
Israel de Souza	W
Mauricio Bahuan Alves	W
Moises Monteiro	W
Maicon Juliano Santos	W
Diogo Esquilo	W
Israel de Souza	W
Jean Hasse	W
Jonathan Giocomossi	W
Andre Luis Machado Oliveira	W
Gustavo Miranda	W
