Artem Frolov	L
Ramazan Emeev	L
Sergey Kovalev	W
Nodar Kuduxashvili	L
Ruslan Khaskhanov	W
Joe Ray	L
Joshua Thorpe	W
Edwin Aguilar	W
Paul Daley	L
Joe Doerksen	L
Andrei Semenov	L
Mike Geurin	W
Mitch Whitesel	W
Artur Guseinov	W
Johnny Buck	W
Woody Weatherby	W
John Kolosci	L
Pete Spratt	L
Shane Primm	W
Matt Lagler	W
John Alessio	L
Fabricio Nascimento	W
Anthony Johnson	L
Brodie Farber	W
Diego Sanchez	L
Luke Cummo	W
Frank Camacho	W
Forrest Petz	L
Jon Fitch	L
Dave Menne	W
Hidetaka Monma	W
Solomon Hutcherson	W
Stephan Potvin	W
Chris Leben	L
Sean Sallee	W
Tim Stout	W
George Allen	W
Hans Canko	W
Manuel Garcia	W
Thiago Goncalves	W
Kiel Reid	W
