Johnny Frachey	W
Yuki Baba	W
Masakatsu Ueda	L
Hemerson Hubaldo	W
Paulo Robinson	W
Francisco Cylderlan Lima da Silva	W
Frank Baca	W
Francisco de Lima Maciel	D
Francisco Nazareno Figueredo Jr.	W
Marcos Galvao	L
Hiroshi Nakamura	W
Alexis Vila	W
Zak Laird	W
Ed West	L
Jerod Spoon	W
Atila Lourenco	W
Mauricio dos Santos Jr.	W
Erivaldo Augusto Santos	W
Albino Mendes	W
Zeilton Rodrigues	W
Rodolfo Marques Diniz	W
Eduardo Dantas	L
Zanon Pitbull	W
Hudson Rocha	W
Luis Henrique Drago	W
Evanderson Lopes da Silva	W
