Hoon Kim	D
Jung Hwan Cha	D
Silmar Nunes	W
Matt Brown	L
Erick Silva	L
Dimitry Burgo	W
Mauro Chimento Jr.	W
Edval Pedroso	W
Roan Carneiro	L
Igor Fernandes	W
Marcelo Brito	W
Igor Fernandes	W
Pedro Irie	L
Igor Fernandes	W
Rodrigo Freitas	W
Carlos Galvao	W
Julio Cesar de Almeida	W
Luis Dutra Jr.	L
Luiz Dutra	L
Luciano Azevedo	W
Luciano Azevedo	L
Mauricio Reis	W
Hitoyo Kimura	W
Paulo Teixeira	W
Everaldo Sadan	W
Emerson Graxaim	W
Paulo Roberto Nogueira da Silva Junior	W
Felipe Arinelli	L
	L
Fabricio Madeirada	L
Rogerio Sagate	W
