Loik Radzhabov	D	Decision - Majority (Draw)	2
Bao Yincang	W	TKO	1
Ylies Djiroun	W	Decision - Split	3
Thiago Tavares	W	Decision - Unanimous	2
Yuki Kawana	W	Decision - Unanimous	3
Natan Schulte	W	Submission (Armbar)	2
Jorge Patino	W	Decision - Unanimous	2
Jimmy Spicuzza	W	KO/TKO	1
Leon Davis	W	TKO	1
Yury Bybachkin	W	Submission (Armbar)	1
Alexander Gaaev	W	Submission (Armbar)	1
Vadim Anisimov	W	Decision - Unanimous	2
Evgeniy Zuev	W	Submission (Armbar)	2
Artur Zaynullin	W	Submission (Armbar)	1
Alexander Voitenko	W	Submission (Guillotine)	1
Eldar Khashpakov	W	Submission (Armbar)	1
Sergey Korol	W	TKO	2
Abdurakhman Amaev	W	Decision - Unanimous	2
Alexander Sarnavskiy	L	KO	1
Artur Oumakhanov	W	Submission (Armbar)	1
Alexander Butenko	L	Decision - Unanimous	2
