Trevor Smith	W
Alessio Di Chirico	W
Wendell de Oliveira Marques	W
Alberto Emiliano Pereira	W
Tato Primera	W
Diego Gonzalez	W
Grzegorz Siwy	W
Deyan Topalski	W
David Ramires	W
Rafael Silva	W
Tomas Kuzela	W
Zoran Dod	W
Shota Gvasalia	W
David Ramires	L
Damian Chandzel	W
Rafael Silva	W
Tomas Kuzela	W
Andreas Birgels	W
Maciej Rozanski	L
Istvan Toth	W
Krzysztof Klepacz	W
Peter Capkovic	W
Livio Victoriano	L
Maciej Rozanski	L
Pavol Langer	W
Marcin Krysztofiak	L
Christoph Steinmann	W
Kamil Cibinski	L
Francisco Silva	W
Patrik Jevicky	W
