Yuya Wakamatsu	L
Senzo Ikeda	L
Ryuichi Miki	W
Senzo Ikeda	W
Yuki Yasunaga	L
Yusuke Kitago	W
Yosuke Saruta	W
Czar Sklavos	L
Yoshiro Maeda	D
Mikihito Yamagami	L
Darrell Montague	L
Jussier Formiga	L
Kevin Dunsmoor	W
Fumihiro Kitahara	W
Greg Guzman	W
Frank Baca	W
Kiyotaka Shimizu	W
Jesse Taitano	W
Shinichi Kojima	L
Masaaki Sugawara	W
Yuki Shojo	W
Yasuhiro Urushitani	L
Yusei Shimokawa	W
Shinichi Kojima	L
Erikas Suslovas	W
Setsu Iguchi	W
Shinichi Kojima	D
Daiji Takahashi	W
Pat Seidel	W
Stonnie Dennis	W
Yasuhiro Urushitani	W
