Diego Brandao	W
Musa Khamanaev	W
Callan Potter	W
Nasrat Haqparast	W
Damir Hadzovic	L
Joe Lauzon	L
Diego Sanchez	L
Dave Jansen	W
Will Brooks	L
Alexander Sarnavskiy	W
Patricky Freire	W
Nate Jolly	W
Derek Anderson	W
Rodrigo Cavalheiro	W
Ryan Healy	W
Dave Jansen	L
Rich Clementi	W
Murad Machaev	W
Derrick Kennington	W
Phillipe Nover	W
Kaleo Kwan	W
Michael Chandler	L
Bojan Kosednar	W
Jean Silva	W
Lukasz Sajewski	L
Przemyslaw Zbiciak	W
Ireneusz Mila	W
Mariusz Abramiuk	W
Borys Mankowski	W
Rafal Lasota	W
Mariusz Pioskowik	W
Artur Sowinski	W
Mateusz Piorkowski	W
