Mateusz Gamrot	L
Gracjan Szadzinski	W
Grzegorz Szulakowski	W
Kleber Koike Erbst	L
Patryk Nowak	W
Mateusz Rebecki	L
Tymoteusz Swiatek	W
Reinaldo Teixeira	W
Dragan Pesic	W
Denilson Neves de Oliveira	L
Jacek Kreft	W
Roman Szymanski	L
Jesus Montero	W
Semen Trylya	W
Guiliano Pennese	W
Gabriel Marichev	W
Bartlomiej Kurczewski	W
Adrian Zielinski	L
Tomasz Nebeling	W
Jacek Kreft	W
Mariusz Teodorowicz	W
Jacek Kreft	L
Pawel Zyglinski	W
Maciej Teresiak	W
Ireneusz Mila	D
Gzregorz Bialas	W
Karol Szalowski	W
Marcin Skalik	W
Lukasz Sobiepan	W
Piotr Rakowski	D
Max Coga	L
