Julia Budd	L
Alexis Dufresne	L
Arlene Blencowe	W
Annalisa Bucci	W
Cris Cyborg	L
Fiona Muxlow	W
Romy Ruyssen	W
Miesha Tate	L
Liz Carmouche	W
Sarah Kaufman	W
Cris Cyborg	L
Roxanne Modafferi	W
Cindy Dandois	L
Asci Kubra	W
Romy Ruyssen	W
Asci Kubra	W
Roxanne Modafferi	L
Magdalena Jarecka	W
Keiko Tamai	W
Majanka Lathouwers	W
Yoko Takahashi	W
Yuuki Kondo	W
Erin Toughill	L
Yoko Takahashi	W
Miwako Ishihara	W
Megumi Yabushita	W
Yoko Takahashi	W
Megumi Yabushita	W
Becky Levi	W
Mika Harigai	W
Yuuki Kondo	W
