Mu Gyeom Choi	L
Soo Chul Kim	D
Isao Kobayashi	L
Chris Horodecki	W
Yojiro Uchimura	D
Frodo Khasbulaev	L
Akop Stepanyan	W
Dustin Neace	W
Daniel Straus	L
Alexandre Bezerra	W
Roberto Vargas	W
Rafael Dias	W
Pat Curran	L
Nazareno Malegarie	W
Genair da Silva	W
Hatsu Hioki	L
Masanori Kanehara	W
Tomonari Kanomata	W
Yuji Hoshino	W
Michihiro Omigawa	L
Nick Denis	W
Matt Jaggers	W
Masaya Takita	W
Miki Shida	W
Daiki Hata	W
Marcos dos Santos	W
William Vianna	W
Erinaldo Rodriguez	W
Marcelo Ferreira	W
Alexandre Aranha	W
Fabricio Medeiros	W
Orley de Oliveira	W
Antonio Lima	W
Tatu Nunes	W
