Victor Henry	L
Jomhod Chuwattana	W
Charlie Alaniz	W
Michael McDonald	L
Rani Yahya	L
Alex Caceres	W
Toshiaki Kitada	L
Joe Pearson	W
Wade Choate	W
Tom McKenna	W
Tony Reyes	W
Jake Hattan	W
Brady Harrison	W
Rasul Mirzaev	L
Motoshi Miyaji	W
Yoshiro Maeda	L
Marlon Sandro	L
Norifumi Yamamoto	W
Michihiro Omigawa	W
Hatsu Hioki	L
Chan Sung Jung	W
Jong Man Kim	W
Kenji Arai	W
Takafumi Otsuka	L
Isamu Sugiuchi	W
Erikas Petraitis	L
Shunichi Shimizu	W
Naoyuki Kotani	D
Yoichiro Toriyama	W
Tashiro Nishiuchi	L
Arunas Jurgelenas	W
Tetsu Suzuki	W
Shinya Sato	W
Taro Himura	W
Kenichi Ito	W
Hiroyuki Ota	D
Hisashi Hiyama	W
Toshiyuki Saito	W
Shinya Sato	L
Norimasa Isozaki	D
Hiroyuki Ota	D
Masayuki Okude	D
Satoru Ida	W
Masayuki Okude	L
Yuki Takaya	W
Isamu Sugiuchi	L
