Marcin Tybura	L
Jordan Johnson	D
Mikhail Mokhnatkin	W
Jordan Johnson	W
Smealinho Rama	D
Rakim Cleveland	W
Jason Butcher	W
Leonardo Guimaraes	W
Dirlei Broenstrup	W
Matej Batinic	W
Magomed Ankalaev	L
Maxim Futin	W
Marcin Lazarz	W
Joaquim Ferreira	W
Malik Merad	W
Dorian Ilic	W
Trevor Prangley	W
Rodney Wallace	W
Mario Miranda	W
Ray Lopez	W
William Hill	W
Joachim Christensen	W
Kenny Garner	L
Julio Cezar de Lima	W
Alan Sobanov	W
Samir Akhmetov	W
Stanislav Mirzamagomedov	W
Vladimir Kuchenko	W
Guram Gugenishvili	L
Alexander Volkov	W
Arsen Abdulkerimov	W
Gadzhimurad Nurmagomedov	W
Dawid Baziak	L
Levan Persaev	W
Dmitry Zabolotny	W
Shane Del Rosario	L
Joaquim Ferreira	L
Magomed Umarov	W
Gela Getsadze	W
Magomedbag Agaev	L
