Takanori Gomi	L
Maurice Jackson	L
Israel Adesanya	L
Muslim Salikhov	L
Chidi Njokuani	L
David Rickels	D
Derek Campos	L
Brandon Girtz	L
Justin Gaethje	L
Gesias Cavalcante	W
Michael Johnson	L
Ross Pearson	D
Mac Danzig	W
Jamie Varner	L
Donald Cerrone	L
Fabricio Camoes	W
Jim Miller	L
Joe Lauzon	L
Shane Roller	W
Evan Dunham	W
Jeremy Stephens	W
Waylon Lowe	W
Ronys Torres	W
Nate Diaz	L
Gleison Tibau	W
Dennis Siver	W
Eric Regan	W
Rich Clementi	L
Joe Stevenson	L
Gabe Ruediger	W
Rick Davis	W
Josh Neer	L
Marcus Davis	W
Peter Kaljevic	W
Darrell Smith	W
Roger Huerta	D
Rob Emerson	W
Santino Defranco	L
Jason Hathaway	W
LaVerne Clark	D
Angel Nievens	W
Ryan Stout	L
Lee King	D
Rich Miller	W
Kyle Bradley	W
Jake Short	L
Carlo Prater	L
Justin Wieman	W
Kyle Bradley	W
Paul Purcell	W
Diego Saraiva	W
Alex Kronofsky	W
Aaron Williams	W
Victor Estrada	W
Rod Ramirez	W
Joe Jordan	W
Jonathon Hargroder	W
Calvin Martin	W
