Yannick Bahati	W
Kent Kauppinen	W
Rafael Carvalho	L
Rafael Carvalho	L
Hisaki Kato	W
Alexander Shlemenko	D
Joe Schilling	L
Doug Marshall	W
Evangelista Santos	W
Mamed Khalidov	L
Brock Larson	L
Denis Kang	W
Ryo Kawamura	W
Jae Young Kim	W
Yoshiyuki Nakanishi	D
Tim Kennedy	L
Tatsuya Mizuno	L
Robbie Lawler	L
Kazuo Misaki	W
Paulo Filho	L
Mark Hunt	W
Gegard Mousasi	L
Gegard Mousasi	L
Kazushi Sakuraba	W
Dae Won Kim	W
Yosuke Nishijima	W
Fabio Silva	W
Bernard Ackah	W
Dong Sik Yoon	L
Kazuo Takahashi	W
Yoshihiro Akiyama	L
Shungo Oyama	W
Crosley Gracie	W
Ian Freeman	W
Shungo Oyama	W
Evangelista Santos	W
Fabio Piamonte	W
Paul Cahoon	W
Bob Schrijber	W
Ladislav Zak	W
Matthias Riccio	W
Rodney Glunder	L
Slavomir Molnar	W
Alexandr Garkushenko	W
Bob Schrijber	L
Mika Ilmen	W
Paul Cahoon	W
Husein Cift	W
Rodney Glunder	D
Jordy Jonkers	W
