Luis Henrique	L
Phil de Fries	L
Fernando Rodrigues Jr.	W
Michal Kita	W
Denis Smoldarev	W
Tim Hague	W
Bjoern Schmiedeberg	W
Andrzej Kulik	W
Salimgirey Rasulov	L
Nikita Petrovs	L
Zaurbek Bashaev	W
Lew Polley	W
Michal Wlodarek	L
Konstantin Erokhin	L
Magomedbag Agaev	W
Paul Slowinski	W
Ion Cutelaba	W
Michal Pukin	W
Dariusz Zimolag	W
Andrzej Kosecki	W
Radoslaw Kostrubiec	W
Jacek Czajczynski	L
James Hurrell	W
Robert Maruszak	W
Bartosz Rozycki	W
Marcin Zontek	D
Marcin Zontek	W
Sandino Walczyk	W
Boguslaw Zawirowski	L
