Lloyd Carter	W
Kleber Koike Erbst	L
Desmond Green	L
Takahiro Ashida	W
Wade Choate	W
Giovanni Moljo	W
Pablo Alfonso	L
Marlon Moraes	L
Michael McDonald	L
Nick Pace	W
Demetrious Johnson	L
Antonio Banuelos	W
Charlie Valencia	W
Joseph Benavidez	L
Brian Bowles	L
Takeya Mizugaki	W
Manny Tapia	W
Yoshiro Maeda	W
Chase Beebe	W
Jeff Bedard	W
Darius Turcinskas	W
Charles Wilson	W
Bobby Gamboa	W
Derek Collins	W
Richard Nancoo	W
Joe Pearson	W
	W
Dan Swift	W
Mike French	W
Jim Bruketta	W
Alex Khanbabian	W
Mustafa Hussaini	W
	L
Lindsey Durlacher	W
Brian Szohr	W
Craig Williamson	W
Steve Reyna	W
Nick Mitchell	W
Danny Long	W
Patrick Rodriguez	W
Josh Mason	W
Mark Jaromillo	W
David Odle	W
Danny Alexander	W
Jesse Gudenschwagger	W
Chad Bratton	W
Ricky Olson	W
Cory Merriman	W
Dan Caesar	W
Khris Cramer	W
Michael Reyna	W
Dan Caesar	W
Larry Pulliam	W
