Zak Ottow	L
Alex Garcia	L
Alberto Mina	L
Sean Spencer	W
Colby Covington	L
Jordan Mein	L
TJ Waldburger	W
Matt Brown	L
Rick Story	W
James Head	W
Josh Neer	W
Ricardo Funch	W
Rory MacDonald	L
Ricardo Almeida	W
John Hathaway	W
Jesse Lennox	W
Jake Ellenberger	L
Chris Wilson	W
Brock Larson	L
Brian Gassaway	W
JJ Ambrose	W
Dan Hornbuckle	W
Damir Mirenic	W
Jake Shields	L
Aaron Wetherspoon	W
Ross Ebanez	W
Matt Horwich	L
John Cole	W
Rory Markham	L
Gustavo Machado	W
Shonie Carter	W
Bret Bergmark	W
Tony Sanza	W
Damian Hatch	W
Patrick Suhl	W
Petras Markevicius	W
Arschak Dahabagian	W
Valdas Pocevicius	L
Andrei Semenov	D
Daan Kooiman	W
Jon Fitch	W
Quinton Jackson	L
