Caio Magalhaes	W
Marcus Vanttinen	W
Muhammed Lawal	L
Aaron Rosa	W
Emanuel Newton	L
Jacob Noe	W
Renato Sobral	W
Marcin Elsner	W
Mathias Schuck	W
Alexei Varagushin	W
Bogdan Savchenko	W
Juha Saarinen	W
Vinny Magalhaes	L
Malik Merad	W
David Tkeshelashvili	W
Matias Baric	W
Toni Valtonen	W
Robert Jocz	L
Sang Soo Lee	W
Lucio Linhares	L
Alexandre Machado	L
Jae Young Kim	L
David Haagsma	W
Seung Bae Whi	W
Alexei Kalistartov	W
John Cornett	W
Lucio Linhares	W
Daniel Tabera	L
Christophe Daffreville	W
Lukasz Jurkowski	W
Jin Oh Kim	W
Christophe Durant	W
