Roy Nelson	W
Roque Martinez	W
Tsuyoshi Kosaka	W
Kaido Hoovelson	W
Amir Aliakbari	W
Muhammed Lawal	W
Hyun Man Myung	W
Gabriel Gonzaga	W
Satoshi Ishii	W
Satoshi Ishii	W
Aleksei Oleinik	L
Shinichi Suzukawa	W
Roy Nelson	L
Brendan Schaub	L
Frank Mir	L
Pat Barry	W
Anthony Perosh	W
Junior Dos Santos	L
Mostapha Al-Turk	W
Hong Man Choi	W
Alistair Overeem	D
Tatsuya Mizuno	W
Cheick Kongo	L
Gabriel Gonzaga	L
Eddie Sanchez	W
Josh Barnett	W
Wanderlei Silva	W
Hidehiko Yoshida	W
Ikuhisa Minowa	W
Mark Hunt	L
Josh Barnett	W
Fedor Emelianenko	L
Ibragim Magomedov	W
Mark Coleman	W
Kevin Randleman	W
Josh Barnett	W
Aleksander Emelianenko	W
Shungo Oyama	W
Hiromitsu Kanehara	W
Kevin Randleman	L
Yoshihisa Yamamoto	W
Ron Waterman	W
Antonio Rodrigo Nogueira	L
Alberto El Patron	W
Igor Vovchanchyn	W
Heath Herring	W
Kazuyuki Fujita	W
Kazushi Sakuraba	W
Wanderlei Silva	D
Yuji Nagata	W
Nobuhiko Takada	D
Kazuyuki Fujita	W
