Andrew Kapel	L
Jiri Prochazka	L
Liam McGeary	L
Ryan Bader	L
Quinton Jackson	W
Mirko Filipovic	L
Satoshi Ishii	W
Phil Davis	L
Teodoras Aukstuolis	W
Jiri Prochazka	W
Brett McDermott	W
Linton Vassell	W
Cheick Kongo	W
Joe Vedepo	W
Dustin Jacoby	W
Quinton Jackson	L
Mikhail Zayats	W
Emanuel Newton	L
Jacob Noe	W
Seth Petruzelli	W
Emanuel Newton	L
Przemyslaw Mysiala	W
Lorenz Larkin	D
Roger Gracie	W
Rafael Cavalcante	L
Gegard Mousasi	W
Mike Whitehead	W
Mark Kerr	W
Ryo Kawamura	W
Yukiya Naito	W
Fabio Silva	W
Travis Wiuff	W
