Steven Siler	D	Decision - Majority (Draw)	2
Andre Harrison	L	Decision - Unanimous	3
Marcos Galvao	W	Decision - Unanimous	3
Issei Tamura	W	Submission (Rear Naked Choke)	1
Jose Carlos Soares	W	Decision - Unanimous	3
Guy Delumeau	W	Decision - Unanimous	3
Hiroyuki Takaya	W	Decision - Unanimous	3
Iramar Frota	W	Submission (Guillotine)	1
Joaquim Silva	L	Decision - Split	3
Derinaldo Guerra da Silva	W	Submission (Arm Triangle)	1
Vitor Pastoriza	W	Submission (Guillotine)	1
Andre Luis de Souza	W	Submission (Guillotine)	1
Jose Ivanildo Lopes Sousa	W	Decision - Unanimous	3
Moises Monteiro	W	TKO	1
Marcelo Marcelo	W	KO (Head Kick)	1
Rad Martinez	L	Decision - Unanimous	3
Thiago Sinistro	W	TKO	1
Jonas Lis	W	TKO	1
Marlon Sandro	L	Unanimous Decision	3
Jacob Devree	W	Submission (Guillotine)	3
Daniel Straus	L	Unanimous Decision	3
Nelson Velasques	W	Submission (Rear Naked Choke)	1
Antonuce Conceicao	W	Submission (Guillotine)	1
Ricardo Urbano	W	TKO	2
Daniel Morales	W	Decision - Unanimous	3
Erick Carlos Silva	W	Submission (Anaconda Choke)	1
Erickson Lima	W	Submission (Kimura)	1
Luciano Oliveira	W	Submission (Heel Hook)	1
Alessandro Cordeiro	W	Submission (Arm Triangle)	3
Julio Rafael Rodrigues	W	Submission (Heel Hook)	3
Rosenildo Rocha	W	Submission (Rear Naked Choke)	2
Diego Marlon	W	Submission (Guillotine)	1
Jairon Oliveira	W	Decision - Unanimous	3
Tarcisio Imegiato	W	Submission (Arm Triangle)	1
Jonas Ribeiro	W	Submission (Guillotine)	1
