Chris Curtis	W
Chris Curtis	W
John Howard	W
Ray Cooper III	W
Pavel Kusch	W
Bojan Velickovic	W
Bojan Velickovic	W
Herman Terrado	W
Bobby Cooper	W
Artem Shokalo	W
Vitaly Bigdash	L
Khasankhon Baratov	W
Beslan Isaev	L
Ratmir Karatsukov	W
Ibragim Tibilov	W
Islam Yashaev	W
Adam Khaliev	L
Wiguiman de Lucena Xavier	W
Stanislav Molodcov	W
Nikolay Karpachov	W
Evgeny Gontarev	W
German Yakubov	W
Thiago Vella	W
Sergey Faustov	W
Anatoly Tokov	W
Bakhtiyar Abbasov	L
Ratmir Karatsukov	W
Sergey Shilov	W
Taras Pihynuk	L
Viktor Kuzmenko	W
Vitaly Kalynyuk	W
