Vladimir Mineev	L
Vladimir Mineev	W
Tyago Moreira	W
Ramazan Emeev	L
Aziz Karaoglu	L
Brett Cooper	W
Jesse Taylor	W
Artur Guseinov	W
Vyacheslav Vasilevsky	L
Mamed Khalidov	L
Dibir Zagirov	W
Alexander Shlemenko	L
Andreas Spang	W
Vyacheslav Vasilevsky	W
Norman Paraisy	W
Douglas del Rio	W
Antonio Braga Neto	L
Julio Cesar Bilik	W
Gerald Harris	W
Wendres Carlos da Silva	W
Daniel Ludtke	W
Ricardo Silva	W
Arymarcel Santos	W
Eli Reger	W
Allan Froes	W
Nelson Martins	W
Daniel Ludtke	L
Romulo Nascimento	W
Rodrigo Freitas	W
Edson Franca	W
Josue Verde	W
Fabio Maldonado	L
Fabiano Scherner	D
Reinaldo Samurai	W
Daniel Barbosa	W
Alex Moura	W
Lucio Aguiar	W
Leandro Gordo	W
Laerte Costa Silva de Oliveira	W
Fabio Maldonado	L
Felipe Miranda	W
Silverio Bueno	W
Claudio Mattos	W
Rogerio Farias	W
Anderson Brito	W
Josimar Lira Rodrigues	W
Andre Rocha	W
Guilherme Freitas	W
