Diego Ferreira	L
Desmond Green	W
Felipe Silva	W
Damir Hadzovic	W
Alan Patrick	W
Anthony Christodoulou	W
Marcin Bandel	W
Michel Prazeres	L
Tae Hyun Bang	W
Artiom Damkovsky	W
Niko Puhakka	W
Leon Del Gaudio	W
Marat Gafurov	L
Luca Poclit	W
Joshua Thorpe	W
Josh Bacallao	W
Yuri Ivlev	W
Ivica Truscek	W
Artiom Damkovsky	L
Sergey Adamchuk	W
Julien Boussuge	W
Petr Cajnak	W
Borys Mankowski	W
Markus Niskanen	W
Olivier Elizabeth	W
Jarkko Latomaki	W
Vener Galiev	L
David Rosmon	W
Ivan Buchinger	L
Maxim Usmaniev	W
Oto Merlin	W
Jaroslav Poborsky	W
Vaclav Pribyl	W
