Alexey Sidorenko	L
Cristian Mitrea	W
Isa Umarov	W
Yuri Gorbenko	W
Ion Cutelaba	L
Maxim Grishin	L
Ramis Teregulov	W
Zoumana Cisse	L
Rameau Thierry Sokoudjou	L
Soule Konate	W
Mohamed Ali	W
Frederic Lefevre	W
Alexandre Morin	W
Nicolas Specq	W
El Anwar Bakary	W
Johan Romming	L
Steven Duvivier	W
Charles Andrade	W
Kristijan Perak	L
Charles Andrade	L
Marcus Vanttinen	L
Peter Kirkegaard	W
Mikhail Zayats	L
David Baudrier	L
Egidijus Valavicius	W
Mark Godbeer	L
Ludovic Mayi	W
Denniston Sutherland	L
Christian Wurtz	W
Christophe Grare	W
Marcel Fouda	W
Serge Canario	W
Johan Romming	L
Ossama Jablatte	W
Delivrance Nsumboli	L
Marcel Fouda	W
Willy Monduc	L
Kertesz Laszlo	W
Victor Apostol	W
