Paul Daley	L
James Silveira	W
Johnathan Gamarra	W
Patrick Louzeiro	W
Valdo Demolidor	W
Feinho Feinho	W
Erik Becker	W
Viscardi Andrade	L
Gil de Freitas	L
Thiago Lopes	W
Luis Melo Jr.	W
Adson Maguila	W
Alexandre Leao	W
Marcio Henrique Castanheira	W
Gerian Monteiro	W
Silmar Nunes	W
Silmar Nunes	L
Iuri Alcantara	L
Edvan Souza	W
Leandro Silva	W
Julio Cesar de Almeida	L
Gerian Monteiro	W
Eduardo Dudu	W
Diego Frajola	W
Josenildo de Oliveira	L
Feinho Feinho	W
Eliezer Ramos	W
Alan Iglesias	W
Rodrigo Mal	W
Adriano Goncalves	W
Jolivan Serapio	W
Marcelo Silva	W
Anderson Silva	W
Ezenilton Madiboo	W
Eliezer Ramos	W
