Aliaksandr Danilchenko	W
Fernando Gonzalez	L
Vaughn Anderson	W
Brent Weedman	L
Andrey Koreshkov	L
Nordine Taleb	W
Waachiim Spiritwolf	W
Waachiim Spiritwolf	W
Bruno Carvalho	W
Eiji Ishikawa	W
Jordan Mein	L
Kazushi Sakuraba	W
Waachiim Spiritwolf	D
Evangelista Santos	L
Nick Diaz	L
Ho Bae Myeon	W
Jason High	W
Hayato Sakurai	W
Seichi Ikemoto	W
Jedrzej Kubski	W
Che Mills	L
Ross Pointon	W
Ross Mason	W
Damien Riccio	W
Darius Swierkosz	W
Che Mills	L
Afnan Saeed	W
Kazys Grigaliunas	W
Jack Mason	W
Ricardas Jancevicius	L
Viktoras Kontrimas	W
