Thiago Silva	W
Michal Materla	L
Lukasz Jurkowski	W
Andreas Kraniotakes	W
Rashid Yusupov	L
Michal Gutowski	W
Jonas Billstein	L
Davit Koberidze	W
Krzysztof Jotko	L
Abu Azaitar	L
Farbod Fadami	W
Valdas Pocevicius	D
Matteo Minonzio	W
Jason Jones	W
Marcus Vanttinen	L
Stjepan Bekavac	L
Marko Igrc	W
Sam Turky	W
Dave Dalgliesh	L
Brian Maulany	W
Jan Blachowicz	L
Igor Pokrajac	L
Toni Valtonen	L
Mamed Khalidov	L
Igor Kolacin	W
Krzysztof Kulak	W
Antonio Mendes	L
Michael Knaap	L
Dritan Barjamaj	W
Magomedbag Agaev	W
Nathan Schouteren	W
Lukasz Jurkowski	W
Michael Knaap	W
Jordan Radev	L
Evert Fyeet	W
John de Wilde	W
Ulf Fritzmann	W
David Marcina	W
Nick Struve	W
Brian Maulany	W
Ricco Losnoskzy	W
Dennis Dennis	W
Mischa Miljak	W
Ralf Frick	W
Karl Niggler	W
